Methode,Marge Totale (EUR),Gain TN (EUR),Perte FP (EUR),Perte FN (EUR),TP,FN
2. XGBoost optimise,2010032.5262003043,2269681.234500459,-17344.69030000004,-242304.01800000048,628,5945
5. Ensemble,1998132.5045003074,2277594.283500458,-11805.556000000024,-267656.22300000075,440,6133
1b. LightGBM + ADASYN (seuil opt),1988509.375300308,2273071.7875004583,-14971.303199999998,-269591.10900000087,488,6085
3. RF + SMOTE optimise,1978646.2026503133,2289692.69300047,-3336.669350000002,-307709.821,179,6394
0. Reference (tout accepter),1941851.6945002985,2294459.3635004703,0.0,-352607.6689999998,0,6573
4. Seuil adaptatif,1665460.6167502694,2000922.506000345,-205475.8002500014,-129986.08899999957,1349,5224
1. LightGBM + ADASYN,1641927.0099502283,1994040.7120003174,-210293.0560500008,-141820.64599999972,1937,4636
